record_id,object_id,normalized_object,impacted_objects,finding_category,risk_level,finding_name,fixed,priority_rank,level_of_effort,assigned_to,notes,exception,exception_notes,exception_proof,start_date,end_date
1,196,HRAG01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,196,Low,ORG\jasmine.clark,Sample note for object 196,STIG,STIG related note for object 196,mailto:example196@example.com,3/15/2025 0:00,NULL
1,196,HRAG01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,196,Low,ORG\jasmine.clark,Sample note for object 196,STIG,STIG related note for object 196,mailto:example196@example.com,3/15/2025 0:00,NULL
1,197,LOGISTICSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,197,High,ORG\jasmine.clark,Sample note for object 197,STIG,STIG related note for object 197,mailto:example197@example.com,3/5/2025 0:00,NULL
1,197,LOGISTICSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,197,High,ORG\jasmine.clark,Sample note for object 197,STIG,STIG related note for object 197,mailto:example197@example.com,3/5/2025 0:00,NULL
1,198,LOGISTICSQL03,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,Y,198,High,ORG\charlie.stone,NULL,Other,Other related note for object 198,mailto:example198@example.com,2/21/2025 0:00,3/15/2025 0:00
1,198,LOGISTICSQL03,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,Y,198,High,ORG\charlie.stone,NULL,Other,Other related note for object 198,mailto:example198@example.com,2/21/2025 0:00,3/15/2025 0:00
1,194,HRSQLCL01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,194,Medium,ORG\maria.lannister,NULL,Other,Other related note for object 194,mailto:example194@example.com,3/29/2025 0:00,NULL
1,194,HRSQLCL01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,194,Medium,ORG\maria.lannister,NULL,Other,Other related note for object 194,mailto:example194@example.com,3/29/2025 0:00,NULL
1,195,HRSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,195,Low,ORG\maria.lannister,Sample note for object 195,NULL,NULL,NULL,2/7/2025 0:00,NULL
1,195,HRSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,195,Low,ORG\maria.lannister,Sample note for object 195,NULL,NULL,NULL,2/7/2025 0:00,NULL
1,196,HRAG01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,196,Low,ORG\jasmine.clark,Sample note for object 196,STIG,STIG related note for object 196,mailto:example196@example.com,3/15/2025 0:00,NULL
1,196,HRAG01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,196,Low,ORG\jasmine.clark,Sample note for object 196,STIG,STIG related note for object 196,mailto:example196@example.com,3/15/2025 0:00,NULL
1,4,CHICAGOSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,4,High,ORG\jasmine.clark,Sample note for object 4,Org Policy,Org Policy related note for object 4,mailto:example4@example.com,3/24/2025 0:00,NULL
1,4,CHICAGOSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,4,High,ORG\jasmine.clark,Sample note for object 4,Org Policy,Org Policy related note for object 4,mailto:example4@example.com,3/24/2025 0:00,NULL
1,200,CHICAGOSQL03,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,Y,200,Medium,ORG\charlie.stone,NULL,Org Policy,Org Policy related note for object 200,mailto:example200@example.com,3/10/2025 0:00,3/24/2025 0:00
1,200,CHICAGOSQL03,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,Y,200,Medium,ORG\charlie.stone,NULL,Org Policy,Org Policy related note for object 200,mailto:example200@example.com,3/10/2025 0:00,3/24/2025 0:00
2,5,LOGISTICSQLFCI01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,Y,5,High,ORG\jasmine.clark,NULL,STIG,STIG related note for object 5,mailto:example5@example.com,3/7/2025 0:00,3/9/2025 0:00
2,5,LOGISTICSQLFCI01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Designing for Performance,Low,Validate failover cluster health and response times,Y,5,High,ORG\jasmine.clark,NULL,STIG,STIG related note for object 5,mailto:example5@example.com,3/7/2025 0:00,3/9/2025 0:00
2,202,LOGISTICSQL01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,Y,202,Medium,ORG\maria.lannister,Sample note for object 202,STIG,STIG related note for object 202,mailto:example202@example.com,3/6/2025 0:00,3/11/2025 0:00
2,202,LOGISTICSQL01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Designing for Performance,Low,Validate failover cluster health and response times,Y,202,Medium,ORG\maria.lannister,Sample note for object 202,STIG,STIG related note for object 202,mailto:example202@example.com,3/6/2025 0:00,3/11/2025 0:00
2,6,RESEARCHSQLCL01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,N,6,Low,ORG\jasmine.clark,NULL,Other,Other related note for object 6,mailto:example6@example.com,2/7/2025 0:00,NULL
2,6,RESEARCHSQLCL01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Designing for Performance,Low,Validate failover cluster health and response times,N,6,Low,ORG\jasmine.clark,NULL,Other,Other related note for object 6,mailto:example6@example.com,2/7/2025 0:00,NULL
2,7,RESEARCHSQLFCI01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,Y,7,Low,ORG\jasmine.clark,NULL,Other,Other related note for object 7,mailto:example7@example.com,2/26/2025 0:00,3/18/2025 0:00
2,7,RESEARCHSQLFCI01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Designing for Performance,Low,Validate failover cluster health and response times,Y,7,Low,ORG\jasmine.clark,NULL,Other,Other related note for object 7,mailto:example7@example.com,2/26/2025 0:00,3/18/2025 0:00
2,8,RESEARCHAG01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,N,8,Low,ORG\charlie.stone,NULL,Org Policy,Org Policy related note for object 8,mailto:example8@example.com,3/6/2025 0:00,NULL
2,8,RESEARCHAG01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Designing for Performance,Low,Validate failover cluster health and response times,N,8,Low,ORG\charlie.stone,NULL,Org Policy,Org Policy related note for object 8,mailto:example8@example.com,3/6/2025 0:00,NULL
2,9,HEADQUARTERSQLCL01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,N,9,Medium,ORG\jasmine.clark,Sample note for object 9,GPO,NULL,NULL,4/4/2025 0:00,NULL
2,9,HEADQUARTERSQLCL01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Designing for Performance,Low,Validate failover cluster health and response times,N,9,Medium,ORG\jasmine.clark,Sample note for object 9,GPO,NULL,NULL,4/4/2025 0:00,NULL
2,10,HEADQUARTERSQLFCI01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,N,10,Low,ORG\jasmine.clark,Sample note for object 10,NULL,NULL,NULL,3/24/2025 0:00,NULL
2,10,HEADQUARTERSQLFCI01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Designing for Performance,Low,Validate failover cluster health and response times,N,10,Low,ORG\jasmine.clark,Sample note for object 10,NULL,NULL,NULL,3/24/2025 0:00,NULL
2,11,HEADQUARTERAG01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,Y,11,High,ORG\jasmine.clark,NULL,Other,Other related note for object 11,mailto:example11@example.com,2/6/2025 0:00,4/12/2025 0:00
2,11,HEADQUARTERAG01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Designing for Performance,Low,Validate failover cluster health and response times,Y,11,High,ORG\jasmine.clark,NULL,Other,Other related note for object 11,mailto:example11@example.com,2/6/2025 0:00,4/12/2025 0:00
2,209,MARKETINGSQL01,LOGISTICSQLFCI01;LOGISTICSQL01;TransactionDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;ComplianceDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;SupportDB; MARKETINGSQL01;MARKETINGSQL01;SupportDB; HEADQUARTERSQLCL01;HEADQUARTERSQLFCI01;HEADQUARTERAG01;HRDB; RESEARCHSQLCL01;RESEARCHSQLFCI01;RESEARCHAG01;CoreDB; RESEARCHSQLFCI01;TransactionLogFile; None;ErrorLog,Database Indexes,Low,Validate failover cluster health and response times,N,209,Medium,ORG\jasmine.clark,NULL,GPO,NULL,NULL,2/6/2025 0:00,NULL
