"Category","Severity","Issue Name","Affected Targets","Status","Impact","Ease of Implementation","Urgency","Issue Priority","Due Date","Owner","Notes"
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Enable and Enforce ""Domain member: Digitally encrypt secure channel data (when possible)"" Setting via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Enable and Enforce ""Domain member: Digitally sign secure channel data (when possible)"" Setting via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Least Functionality;oms_Security;oms_Windows Server;SCM;Security and Compliance;Identity Management;Server Hardening and Surface Area Configuration","High","Enumerate administrator accounts on elevation","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Enable and Enforce ""Microsoft network server: Digitally sign communications (if client agrees)"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Restrict Encryption Algorithms with the Setting ""Network Security: Configure encryption types allowed for Kerberos"" via GPO to Use Latest Version(s) Supported Within the Environment","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;Medium-3;oms_Security;oms_Windows Server;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Configure the Setting ""Network security: LAN Manager authentication level"" and Enforce via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;oms_Security;oms_Windows Server;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Configure the Setting ""Network Security: Restrict NTLM: Incoming NTLM traffic"" to ""Deny all accounts"" and Enforce via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;oms_Security;oms_Windows Server;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Configure the Setting ""Network Security: Restrict NTLM: NTLM authentication in this domain"" to ""Deny all"" and Enforce via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;oms_Security;oms_Windows Server;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Configure the Setting ""Network Security: Restrict NTLM: Outgoing NTLM traffic to remote servers"" to ""Deny All"" and Enforce via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Configure and Enforce the Setting ""Windows Firewall: Public: Firewall state"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Security and Compliance;Server Hardening and Surface Area Configuration;SQL Security","High","Disable the Guest user.","LIMLMOSQL01.XYZ.DOM.MBC;ItemQuasar4;LIMLMOSQL01.XYZ.DOM.MBC;ItemStone4","Failed",,,,,,,
"Capacity Management Processes;Database Files;oms_SQL;Performance and Scalability","High","Review the auto grow increment for the transaction log files of databases on the SQL Server instance, as the next auto grow might be excessively large.","LIMCSADBL2.XYZ.DOM.MBC;ItemWave2:ItemLeaf2: ItemWave2_log;LIMAJIDBL.XYZ.DOM.MBC;Atlas2:ItemLeaf2: Atlas2_log","Failed",,,,,,,
"Capacity Management Processes;Database Files;oms_SQL;Performance and Scalability","High","Review the auto grow increment and instant file initialization setting for the databases on the SQL Server instance.","LIMAJIDBL.XYZ.DOM.MBC;ItemLeaf5;ItemLeaf2: ItemStar1","Failed",,,,,,,
"Capacity Management Processes;Database Files;oms_SQL;Performance and Scalability","High","Modify auto-growth settings to use a fixed size growth increment of less than 1 GB on data and log files of user databases and the TempDB system database.","LIMCSADBL2.XYZ.DOM.MBC;ItemWave5;ItemLeaf2: ItemWave5_log;LIMCSADBL2.XYZ.DOM.MBC;ItemWave2;ItemLeaf2: ItemWave2_log;LIMCSADBL2.XYZ.DOM.MBC;ItemStone5;ItemLeaf2: ItemStone5_log;LIMCSADBL2.XYZ.DOM.MBC;Pool1 ItemFlame1 ItemWave4;ItemLeaf2: Pool1 ItemFlame1 ItemWave4_log;LIMCSADBL2.XYZ.DOM.MBC;Pool1 ItemStar3 ItemComet4 ItemStar2;ItemLeaf2: Pool1 ItemStar3 ItemComet4 ItemStar2_log;LIMCSADBL2.XYZ.DOM.MBC;ItemDust6;ItemLeaf2: ItemDust6_log;LIMCSADBL2.XYZ.DOM.MBC;ItemStar6;ItemLeaf2: ItemStar6_log;LIMCSADBL2.XYZ.DOM.MBC;ItemFlame6;ItemLeaf2: ItemFlame6_log;LIMCSADBL2.XYZ.DOM.MBC;ItemStone6;ItemLeaf2: ItemStone6_log;LIMCSADBL2.XYZ.DOM.MBC;ItemComet6;ItemLeaf2: ItemComet6_log;LIMCSADBL2.XYZ.DOM.MBC;ItemDust7;ItemLeaf2: ItemDust7_log;LIMAJIDBL.XYZ.DOM.MBC;ItemLeaf5;ItemLeaf2: ItemStar1;LIMAJIDBL.XYZ.DOM.MBC;ItemLeaf5;ItemLeaf2: ItemStar1_log;LIMAJIDBL.XYZ.DOM.MBC;Atlas2;ItemLeaf2: Atlas2_log;LIMAJIDBL.XYZ.DOM.MBC;Rigel2;ItemLeaf2: Rigel2_log;LIMLMOSQL01.XYZ.DOM.MBC;ItemFlame3;ItemLeaf2: ItemQuasar3;LIMLMOSQL01.XYZ.DOM.MBC;ItemFlame3;ItemLeaf2: ItemQuasar3_log;LIMLMOSQL01.XYZ.DOM.MBC;ItemStone3;ItemLeaf2: ItemQuasar3;LIMLMOSQL01.XYZ.DOM.MBC;ItemStone3;ItemLeaf2: ItemQuasar3_log;LIMLMOSQL01.XYZ.DOM.MBC;ItemComet3;ItemLeaf2: ItemLeaf6_log;LIMLMOSQL01.XYZ.DOM.MBC;ItemWind3;ItemLeaf2: ItemLeaf6_log;LIMLMOSQL01.XYZ.DOM.MBC;ItemDust4;ItemLeaf2: ItemDust4_log;LIMLMOSQL01.XYZ.DOM.MBC;ItemQuasar4;ItemLeaf2: ItemQuasar4;LIMLMOSQL01.XYZ.DOM.MBC;ItemQuasar4;ItemLeaf2: ItemQuasar4_log","Failed",,,,,,,
"Designing for Performance;oms_SQL;Performance and Scalability;SQL Configurations","High","Change the max degree of parallelism (MAXDOP) configuration option in Microsoft SQL Server.","LIMCSADBL2.XYZ.DOM.MBC","Failed",,,,,,,
"Database Indexes;Designing for Performance;oms_SQL;Performance and Scalability","High","Consider to change or remove Indexes with an index key larger than the recommended size.","LIMLMOSQL01;ItemStone4;LIMAJIDBL;Vault1;LIMCSADBL2;Pool1 ItemStar3 ItemComet4 ItemStar2;LIMCSADBL2;ItemWave2;LIMCVHDBL;ItemWave6;LIMCVHDBL;Stream1;LIMCVHDBL;Vault2","Failed",,,,,,,
"Database Indexes;Designing for Performance;oms_SQL;Performance and Scalability","High","Review and update statistics that have had significant changes since last update","LIMLMOSQL01;ItemStone4;LIMLMOSQL01;ItemDust4;LIMLMOSQL01;ItemWind3;LIMLMOSQL01;ItemComet3;LIMLMOSQL01;ItemStone3;LIMLMOSQL01;ItemFlame3;LIMAJIDBL;Atlas2;LIMAJIDBL;Vault1;LIMAJIDBL;ItemLeaf5;LIMCSADBL2;ItemComet6;LIMCSADBL2;ItemFlame6;LIMCSADBL2;ItemWave3;LIMCSADBL2;ItemWind2;LIMCSADBL2;Pool1 ItemStar3 ItemComet4 ItemStar2;LIMCSADBL2;Core1;LIMCSADBL2;ItemWave2;LIMCSADBL2;ItemLeaf1;LIMCVHDBL;Core2;LIMCVHDBL;Crystal2;LIMCVHDBL;ItemWave6;LIMCVHDBL;Root1;LIMCVHDBL;Vault2","Failed",,,,,,,
"Identity Management;oms_SQL;Security and Compliance;SQL Security","High","Review remote connections using NTLM Authentication","LIMCVHDBL.XYZ.DOM.MBC;LIMCSADBL2.XYZ.DOM.MBC;LIMAJIDBL.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;oms_Security;oms_Windows Server;SCM;SCM Registry;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Disable and Enforce the WinRM Client setting ""Allow Basic authentication""","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Disable the following policy setting: Allow cryptography algorithms compatible with Windows NT 4.0.","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Allow indexing of encrypted files","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Least Functionality;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Disable and Enforce Setting ""Always install with elevated privileges"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;SCM Registry;System Integrity","Medium","Boot-Start Driver Initialization Policy","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;SCM Registry;Security and Compliance;Identity Management;Server Hardening and Surface Area Configuration","Medium","Disable insecure guest logons","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;oms_Security;oms_Windows Server;SCM;SCM Registry","Medium","Disallow WinRM Client Digest authentication","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"IdentityManagement;oms_Security;oms_Windows Server;SCM;SCM Registry;Security and Compliance;Identity Management;Server Hardening and Surface Area Configuration","Medium","Disallow WinRM from storing RunAs credentials","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce ""Domain member: Digitally encrypt or sign secure channel data (always)"" Setting via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Enable LSA Protection in Environments Which Need Increased Security and Can Support the Configuration","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Least Functionality;oms_Security;oms_Windows Server;SCM;SCM Registry;Security and Compliance;Identity Management;Server Hardening and Surface Area Configuration","Medium","Enumerate local users on domain-joined computers","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce the setting ""Microsoft network client: Digitally sign communications (if server agrees)"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Configure and Enforce ""Microsoft network server: Digitally sign communications (always)"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Configure the Setting MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"AnonymousAccessVector;Forest;Least Functionality;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce the Setting ""Network access: Do not allow anonymous enumeration of SAM accounts"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"AnonymousAccessVector;Forest;Least Functionality;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce the setting ""Network access: Do not allow anonymous enumeration of SAM accounts and shares"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;Password Attributes;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce the Setting ""Network access: Do not allow storage of passwords and credentials for network authentication"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"AnonymousAccessVector;Forest;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Disable and Enforce the Setting ""Network access: Let Everyone permissions apply to anonymous users"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"AnonymousAccessVector;Forest;Least Functionality;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce the Setting ""Network access: Restrict anonymous access to Named Pipes and Shares"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;oms_Security;oms_Windows Server;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce the setting ""Network security: Allow Local System to use computer identity for NTLM"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;GPO Security","Medium","Configure ""Network security: LDAP client signing requirements"" to ""Require Signing"" and Enforce via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Configure and Enforce the Setting ""Network security: Minimum session security for NTLM SSP based (including secure RPC) clients"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
